order_number,customer_name,customer_mobile,customer_email,ticket_type,buyer_category,quantity,unit_price,discount_per_ticket,total_amount,holder_names,membership_no,student_id,printed,refund,remarks,created_at
00000094,Noman,03418901234,noman.ahmed@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Noman""",,,f,,,2025-10-18 14:49:39.583751+05
00000095,Zubeida,(+92)333 - 7433249,zubeida.bi@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Zubeida""",MN-4044,,f,,,2025-10-18 15:56:34.601091+05
00000096,Nabeel,03004312345,nabeel.khan@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Nabeel""",,,f,,,2025-10-18 17:13:26.440899+05
00000097,Nabeel,03004312345,nabeel.khan@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Wania""",,,f,,,2025-10-18 17:18:30.474228+05
00000098,Qazim,03014567890,qazim.ali@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Qazim""",,,f,,,2025-10-18 17:59:10.999572+05
00000099,Farrukh,03003456782,farrukhch2003@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Farrukh""",,,f,,,2025-10-18 18:18:13.134636+05
00000100,Rashida,03009322131,rashida.bano@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Rashida""",,,f,,,2025-10-18 18:18:20.352891+05
00000101,Kausar,03007998768,kausar_bano@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Kausar""",,,f,,,2025-10-18 19:12:24.654358+05
00000102,Anjum,03451544332,anjum.bi@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Anjum""",MN-4225,,f,,,2025-10-18 20:09:38.874895+05
00000103,Amaya,03330123500,amaya.hassan@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Amaya""",,,f,,,2025-10-18 20:52:17.437946+05
00000104,Abeer,03129012353,abeer.ali@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Aqib Ali Sheikh""",,,f,,,2025-10-18 20:53:07.984594+05
00000105,Javed,03459988771,javed_k@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Ehsan""",,,f,,,2025-10-19 13:02:28.572708+05
00000106,Zimal,03125678981,zimal.butt@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Zimal""",,,f,,,2025-10-19 14:20:37.326136+05
00000107,Samina Chaudhry,03212654321,saminach@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Samina Chaudhry""",,,f,,,2025-10-19 14:58:10.410490+05
00000108,Tahir Ali,03112233445,tahir_s@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Tahir Ali""",,,f,,,2025-10-19 15:30:47.433225+05
00000109,Babar,03456780123,babar.ali@hotmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Babar""",,,f,,,2025-10-19 15:50:05.236020+05
00000110,Ruman,03458901283,ruman.qureshi@hotmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Ruman""",,,f,,,2025-10-19 16:29:32.720992+05
00000111,Ilyas,03331122334,ilyas_k@yahoo.com,Early Bird,member,1,1000.00,50.00,950.00,"""Ilyas""",MN-4739,,f,,,2025-10-19 16:48:47.536339+05
00000112,Aisha Pasha,03331987654,aishapasha@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Aisha Pasha""",L-2847A,,f,,,2025-10-19 16:57:49.007458+05
00000113,Javaria,03009812345,javaria.ali@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Ehsan""",,,f,,,2025-10-19 17:16:07.688432+05
00000114,Xain,03319876543,xain.noor@hotmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Xain""",MN-3834,,f,,,2025-10-19 18:13:04.195343+05
00000115,Salma,03120544349,salma.bibi@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Salma""",,,f,,,2025-10-19 20:03:26.768559+05
00000116,Shafiq,03216766548,shafiq.noor@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Khalid""",L-2999,,f,,,2025-10-19 20:07:39.831467+05
00000117,Hooria,03007890114,hooria.akhtar@gmail.com,Early Bird,member,1,1000.00,50.00,1000.00,"""Sahir""",MN-3848,,f,,,2025-10-19 21:05:58.567047+05
00000118,Arsal,03216789072,arsal.malik@hotmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Fahad""",,,f,,,2025-10-19 21:16:28.441964+05
00000119,Haya,03336789069,haya.noor@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Romeela""",L-2120,,f,,,2025-10-19 21:55:29.971752+05
00000120,Aun,03335678926,aun.hassan@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Shahzaib""",,,f,,,2025-10-20 12:01:46.727305+05
00000121,Shazil,03125678966,shazil.butt@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Shazil""",MN-2856,,f,,,2025-10-20 12:21:39.415756+05
00000122,Javed,03124988791,javedahmed@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Javed""",MN-2775,,f,,,2025-10-20 12:59:29.967640+05
00000123,Azra,03339544337,azra.noor@gmail.com,Ealry Bird,member,1,1000.00,50.00,950.00,"""Tabassum""",L-3739,,f,,,2025-10-20 13:07:59.428598+05
00000124,Azra,03339544337,azra.noor@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Maha""",,,f,,,2025-10-20 13:55:08.411827+05
00000125,Hifza,03418901234,hifza.noor@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Hifza""",L-1891N,,f,,,2025-10-20 14:39:48.638565+05
00000126,Azlaan,03335678900,azlaan.malik@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Azlaan""",,,f,,,2025-10-20 15:26:53.968085+05
00000127,Sohail Ahmed,03127988782,sohailahmed@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Eman""",,,f,,,2025-10-20 17:57:58.554653+05
00000128,Daniyal Ali,03278788756,daniyalali@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Parizah""",MN-4871,,f,,,2025-10-20 20:01:33.699185+05
00000129,Taha Ali,03238384652,tahaali@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Taha Ali""",,,f,,,2025-10-20 20:22:07.702968+05
00000130,Hoor,03218322114,hoor.noor@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Hoor""",,,f,,,2025-10-20 20:22:55.948573+05
00000131,Bareera,03214328765,bareera.bibi@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Bareera""",,,f,,,2025-10-20 20:42:37.719999+05
00000132,Iqra,03456780123,iqra.malik@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Shaukat""",MN-1757,,f,,,2025-10-20 21:25:06.775777+05
00000133,Hashmat,03009988776,hashmat_k@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Hashmat""",,M-21-9147,f,,,2025-10-21 11:31:09.009000+05
00000134,Hashmat,03009988776,hashmat_k@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Jabbar""",,,f,,,2025-10-21 11:50:07.991899+05
00000135,Samina,03211766572,saminamalik@hotmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Samina""",,,f,,,2025-10-21 11:53:38.959275+05
00000136,Sohail,03451987656,sohailuddin@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Sohail""",,,f,,,2025-10-21 12:05:37.131597+05
00000137,Samad,03330099907,samadahmed@yahoo.com,Early Bird,member,1,1000.00,50.00,1000.00,"""Samad""",MN-3050,,f,,,2025-10-21 12:08:28.958885+05
00000138,Samad,03330099907,samadahmed@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Samia Bibi""",,,f,,,2025-10-21 12:58:42.274773+05
00000139,Sunbal,03009655467,sunbal.pk@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Sunbal""",,,f,,,2025-10-21 13:41:27.654843+05
00000140,Alishba,03330123451,alishba.butt@yahoo.com,Early Bird,general,1,700.00,0.00,700.00,"""Alishba""",,,f,,,2025-10-21 14:22:15.850347+05
00000141,Minsa,03219012312,minsa.raza@gmail.com,Early Bird,member,1,1000.00,50.00,950.00,"""Rabia Qureshi""",E-3049,,f,,,2025-10-21 14:48:24.207445+05
00000142,Tariq,03003987555,tariqs@gmail.com,Early Bird,general,1,3500.00,0.00,3500.00,"""Azlan""",,,f,,,2025-10-21 15:27:47.627602+05
00000143,Yasir,03214567890,yasir.ahmed99@yahoo.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Yasir""",,,f,,,2025-10-21 15:44:19.018152+05
00000144,Jawed,(+92)300 - 3544337,jawedhassan@gmail.com,Early Bird,general,1,700.00,0.00,700.00,"""Jawed""",,,f,,,2025-10-21 15:59:53.109174+05
00000145,Jawed,(+92)300 - 3544337,jawedhassan@gmail.com,Early Bird,general,1,700.00,0.00,700.00,"""Aslam""",,,f,,,2025-10-21 16:18:48.719223+05
00000146,Mirha,03335678980,mirha.ali@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Farhana""",,,f,,,2025-10-21 16:24:43.335031+05
00000147,Faisal,03441122334,faisal_ali@gmail.com,Ealry Bird,general,1,1050.00,0.00,1050.00,"""Salma""",,,f,,,2025-10-21 16:45:32.317224+05
00000148,Rafay,03216789039,rafay.raza@gmail.com,Early Bird,general,1,1050.00,0.00,1050.00,"""Tanveer""",,,f,,,2025-10-21 17:09:34.266718+05
