id,event_id,ticket_type_id,order_number,customer_name,customer_mobile,quantity,unit_price,discount_per_ticket,total_amount,holder_names,qr_codes,created_at,printed,remarks,buyer_category,customer_email,membership_no,student_id,ticket_type,refund
f4e66622-904d-4237-8665-cda692613e02,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000094,Noman,03418901234,1,1050.00,0.00,1050.00,"""Noman""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAwElEQVR4nK2RQQrCMBBFf9osA+khCl0JFV0WkgP0MF7Bk3gGwQOkdOFKdFsQxAMILQ24aRmpLjpxKWYzw+fNT/5EEN6nij4V+LUR8rQUlium9TUFTGdLK5kiAbgs+TLMbOisncIQKFWyHkWg0NBocrMCioG6J8fuetz8olnNjKDxmRRebdmUKepWsakIl6OyGcsFIlLnkBEy9SFjeqV1wHQ23d+D/QC7/MrePDWbkvtM2XFoWFIQ4jjvzews/vSDL+scQJuc5uggAAAAAElFTkSuQmCC""",2025-10-18 14:49:39.583751+05,f,,general,noman.ahmed@gmail.com,,,Early Bird,
e93afbf5-47f6-4319-8ca9-f337280fc7ef,a22896a2-1934-46df-b58e-2b3d9e2769c0,3cf1f38b-ff83-40a4-bebf-cc440b0934a3,00000095,Zubeida,(+92)333 - 7433249,1,1000.00,50.00,950.00,"""Zubeida""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAuUlEQVR4nK2RsQrCMBCG/9iOhfQVnDIJSjsKOXASfCnfw5cQXIWUOip17Vu0pGPLSXToxVHMkuPju+P+RDHep1p8buDXQqWPjSJJbDfUHDk9HSgVJAXgTP410FA8WbsMY0SqvJxURHhsNbuZgBOg9uyEcx951YousIW3hZ0dcGdrn4kuxeV1NyXZUTjM60Y6IftzMCI72Pqt1pHT0+28jN4HaIqT2DkUtJdzQnZc5M4h+0BGEPWnH3wBzaVBIb66dwgAAAAASUVORK5CYII=""",2025-10-18 15:56:34.601091+05,f,,member,zubeida.bi@gmail.com,MN-4044,,Early Bird,
ffd91a84-d02a-41b8-b0a0-55ca4e1341c3,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000096,Nabeel,03004312345,1,1050.00,0.00,1050.00,"""Nabeel""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAuElEQVR4nK2RMQrCQBBF/5otFzbgFYRUQiT2WbASvJT38BKCB9iQVknagI03SNgtIyPRIjOW4jQzPP7/zOwqwruqxacDvw5K3zbKcVL2sSahGdzBaUY0AJ+lX4GZk8nWG4yCVOn2qQShsbPkZwJKgDqQZxpjw7pjLkXpyiCaI3P1TdFfhWsZT7uM3QUiQmOERmlEqSlDbq3QDK49P8T7AKG4s52nwe15znQ7LnxnEBKbh3JOVn/6wReZfT77tnhkUwAAAABJRU5ErkJggg==""",2025-10-18 17:13:26.440899+05,f,,general,nabeel.khan@gmail.com,,,Early Bird,
273e17dd-3f33-4f2f-aa60-449b273f8d34,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000097,Nabeel,03004312345,1,1050.00,0.00,1050.00,"""Wania""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAt0lEQVR4nKWRMQ7CMBAE1+DSkvMFKleRgkJvPyDP4CM8CYkHGKUNCm2k9LSJnDLoUEjBHSW4OWu0u/KeFeF9rpt1Ar9elL7tVeDED1NNQjOGKmhGNIDosq9AF2SyjQazINfs8FSC0NxZih8C2gJ1osg0eWPzjrkU3Y8GkzkxV6Q2NcwFGkpfJs8JEVojkpUuJse6g3wqrBWaMfTnHdMs3dPYJ7n5rHqIHdqIC3/z0h3BiRbr/PcHX3YhQpUB1q7zAAAAAElFTkSuQmCC""",2025-10-18 17:18:30.474228+05,f,,general,nabeel.khan@gmail.com,,,Early Bird,
dfdc4d35-7cd3-4d35-b906-9a36ccbca4e1,1cf6c29f-da8b-45de-a461-599fed8f10eb,ec8af2ef-64c5-4db3-91fc-6912d7bbf734,00000098,Qazim,03014567890,1,1050.00,0.00,1050.00,"""Qazim""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAtklEQVR4nK2RsQrCMBCG/9iASyF9APdOQoWOhQZc+1I+kuADpHRVdO3o1DUlGVtOqkPvHMUsF36++y9/ThHep918KvDrRenbQVmu1D52JJjRNlYzRQNwefZlmFvpbFyKSShtVs5KKDT1htyqgBKgC+QY46du38vpW9/E9MS6cCWfiq4ilseB5QIR4S4ZpauYC6YOlTGCGe3j/GTMkn2Yd0H+fNbwWUv24sLfDEJiilCvzupPG3wBBshCMB1BBnUAAAAASUVORK5CYII=""",2025-10-18 17:59:10.999572+05,f,,general,qazim.ali@gmail.com,,,Ealry Bird,
f90cee52-ee50-4a67-9871-85db17b368dd,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000099,Farrukh,03003456782,1,1050.00,0.00,1050.00,"""Farrukh""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAtElEQVR4nK2RsQrCMBCG/9iOgfQVnDIJlToKySr4soLgmtLJQeJacHcSWtKxclIdeucoZrnw8d2RP6cI71MvPhX49aLyy1p5Tlw3NCSc3u99zkgOINjia6D1crIJGqMgdbF5KkFobA2FmYAyoEkUmHOOtGpZF6jsMle52QHFSEmzLpCuYpWEQ7SN3JmyXwfLsoNc0sYIp/flYcmcKfsJtyR/3u/uwjHH4sHfPGXX3jKi/rTBF8EVQkiMH+pNAAAAAElFTkSuQmCC""",2025-10-18 18:18:13.134636+05,f,,general,farrukhch2003@gmail.com,,,Early Bird,
48cf5849-f7f1-40ba-87c5-a3badff4f1ab,50f3c9f2-1e9b-403b-9edc-1c31478febcb,c5dab1c3-f60f-4e5e-8bdd-bfff48c8860f,00000100,Rashida,03009322131,1,1050.00,0.00,1050.00,"""Rashida""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAuElEQVR4nK2RQQrCMBBFfzTLQHoFV10JkbosJOC2l/IeXqI3SMmqoOi2t2hJlpWR6qIZl2I2Ex5/PjN/BOH9us2nAr9+hLwdhMuJHVMgpplc42RGJABfFl+GpePO2ivMjHTF8SkYoXnQ5FcC2gIhks80fR33Q9YFqhBsZVcNqK71eM26Fp/KRKYhMnfFnIV8pDLbHWSj0ZppJvdodywfIJhLNvOSRmOSOrPdU9uzxLpCnaBWIv50wRcV3z/hsSaZLgAAAABJRU5ErkJggg==""",2025-10-18 18:18:20.352891+05,f,,general,rashida.bano@gmail.com,,,Early Bird,
8ae767a5-f474-4dfa-92bb-060aaa7f947d,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000101,Kausar,03007998768,1,1050.00,0.00,1050.00,"""Kausar""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAuklEQVR4nKWRsQrCMBCG/2jGQPoA7pmESB2FBlz7Uj6Sb5DSSbA4F3yIlstYOWkdenHUW3J8/Pm5/04xlmo2nxf4tVG6O6ggSTWkljPNGOqgBdEAoiu+DF3InW00mDLSFMeXyghPveW4EvAWaImj0MS73ffil2IoqpO5CNLBoS/XbYBLIk/V6gNm9g+TOSttkhPZwRWdrBUasC8RB+EzN+SfYuZ5Gzsv55mzp+st21hTmDNMlmKpfy/4BsClQQa9758RAAAAAElFTkSuQmCC""",2025-10-18 19:12:24.654358+05,f,,general,kausar_bano@yahoo.com,,,Early Bird,
22bee661-5106-4785-b842-7d5f6a148b16,a22896a2-1934-46df-b58e-2b3d9e2769c0,3cf1f38b-ff83-40a4-bebf-cc440b0934a3,00000102,Anjum,03451544332,1,1000.00,50.00,950.00,"""Anjum""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAu0lEQVR4nKWRsQrCMBCG/9iMB+kDuAhCp0KljkICXX0pH0nwAVK6Wjp39A1aUnCpnGgHL46a5cLH9x93iWK8T71aKvDrRel2p5wkdpgajpzRHZ0WRAPwWfrVMHNxZ+MJc0TqdP9QEeG5N+w/BJwATWAvnNwmeS9Sitv7wU10EqmS7EAiBWY0RbARYeqk89q9mDKxO9gGMiZyRrc9byKnKLtwFY7iXQKS82iYy/pGlXyxOqUKJLdY6r8/+AQRgUHU1mLhbgAAAABJRU5ErkJggg==""",2025-10-18 20:09:38.874895+05,f,,member,anjum.bi@gmail.com,MN-4225,,Early Bird,
2dd08fc2-6986-4c1f-9454-a8240ed217f3,72273348-72e0-4dc0-8505-aa089febf2bb,fb390a6b-f494-473b-974a-008ea69e6545,00000103,Amaya,03330123500,1,1050.00,0.00,1050.00,"""Amaya""","""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA6AQAAAADJwHeFAAAAsElEQVR4nJ2PMQrCMBiFX0zGSLs6FaEHiGQSKsmdXL2CZ/AkQkoHESr1KJUWXJRIdeif2KlZ8vhIPt5jHt9TLn43MDcwYTfMUmLaW+WDNw/bWxF913/CY0QSt8crIGWKNyOETaxIBXYl6SOwlveLCjynZ7/N3EjgC6mKxjtCFKRrzUgEGiwPfULNjF/zTFGP6XhVhx6dQBPPEBzO0fZc0j7D9pVSZAU8ODraZ2r7nPABO4I0JM8W0sEAAAAASUVORK5CYII=""",2025-10-18 20:52:17.437946+05,f,,general,amaya.hassan@gmail.com,,,Early Bird,
